,year,hare,lynx
0,1847,21,49
1,1848,12,21
2,1849,24,9
3,1850,50,7
4,1851,80,5
5,1852,80,5
6,1853,90,11
7,1854,69,22
8,1855,80,33
9,1856,93,33
10,1857,72,27
11,1858,27,18
12,1859,14,8
13,1860,16,4
14,1861,38,4
15,1862,5,4
16,1863,153,20
17,1864,145,35
18,1865,106,68
19,1866,46,70
20,1867,23,40
21,1868,2,22
22,1869,4,9
23,1870,8,5
24,1871,7,4
25,1872,60,10
26,1873,46,18
27,1874,50,19
28,1875,103,43
29,1876,87,37
30,1877,68,22
31,1878,17,15
32,1879,10,10
33,1880,17,8
34,1881,16,8
35,1882,15,30
36,1883,46,52
37,1884,55,75
38,1885,137,80
39,1886,137,33
40,1887,95,20
41,1888,37,13
42,1889,22,7
43,1890,50,6
44,1891,54,10
45,1892,65,20
46,1893,60,35
47,1894,81,55
48,1895,95,40
49,1896,56,28
50,1897,18,16
51,1898,5,5
52,1899,2,6
53,1900,15,10
54,1901,2,21
55,1902,6,35
56,1903,45,50
